bble,lat,lng,2010,2011,2012,2013,2014,neighborhood
1003720016,40.72123,-73.98,7520000,7640000,7794000,7794000,4956000,15
1003720017,40.7212,-73.97993,4400000,4510000,4826000,4826000,914000,15
1003720012,40.7213,-73.98028,346000,337000,371000,326000,489000,15
1003720010,40.72142,-73.98043,551000,473000,709000,1063500,1276000,15
1003720018,40.72117,-73.97986,9490000,9640000,9655000,9655000,4891000,15
1003720019,40.72114,-73.97978,1150000,1300000,1950000,1800000,1972000,15
1016360142,40.79366,-73.94407,972000,972000,581000,568000,493000,16
1016360140,40.79356,-73.9438,963000,963000,574000,561000,487000,16
1016360141,40.79355,-73.94389,1310000,1310000,779000,762000,662000,16
1016360148,40.79386,-73.94455,1030000,1030000,613000,600000,521000,16
1021690042,40.8561,-73.92991,464000,419000,430000,388000,463000,7
1016780001,40.79058,-73.94161,37200000,35200000,49880000,49603000,46815000,16
1018900072,40.80062,-73.9707,1190000,1060000,1109000,1005000,1206000,17
1020570035,40.82198,-73.94913,1070000,1230000,1046000,1077000,1077000,3
1004090031,40.71819,-73.98982,1380000,1690000,1723000,1978000,2096000,4
1014330015,40.77319,-73.95637,3190000,3210000,2729000,2699000,2720000,13
1011220059,40.77568,-73.97928,2240000,3260000,3329000,2932000,2958000,18
1006310042,40.73414,-74.00658,2110000,3210000,3774000,4318000,4197000,22
1006310046,40.73399,-74.00658,8580000,9990000,11640000,11377000,12044000,22
1019500062,40.81041,-73.95436,432000,1010000,1086000,742000,741000,24
1019500063,40.81035,-73.9544,1360000,1010000,936000,740000,739000,24
1002020002,40.71571,-73.99726,786000,1190000,983000,1346000,1408000,4
1019370007,40.81383,-73.94764,87000,87000,87000,122000,122000,14
1019500064,40.81029,-73.95445,1410000,1040000,970000,767000,766000,24
1012830064,40.75676,-73.97751,8280000,8430000,8686000,9709000,10226000,9
1021690060,40.85539,-73.93016,906000,927000,1068000,1013000,1054000,7
1019480018,40.80821,-73.95414,837000,2510000,2382000,1232000,1231000,25
1012510030,40.79222,-73.97639,5710000,6570000,6590000,6146000,5246000,17
1011220051,40.77541,-73.97865,2150000,2480000,3189000,2809000,2833000,18
1017170152,40.80306,-73.9466,426000,358000,333000,263000,263000,25
1017170150,40.80297,-73.94645,1020000,1170000,1315000,1153000,1172000,25
1006340059,40.73636,-74.00632,2880000,2910000,3576000,4023000,3601000,22
1006340058,40.73633,-74.00638,3550000,3580000,4389000,4861000,4766000,22
1006340055,40.73623,-74.00649,5240000,5290000,7657000,7887000,7950000,22
1011220054,40.7755,-73.97886,2340000,2150000,2760000,2431000,2452000,18
1006340057,40.73634,-74.00644,3350000,3380000,5066000,5090000,5464000,22
1006340056,40.73632,-74.00651,4180000,4210000,6208000,5522000,5558000,22
1006340051,40.73599,-74.00651,10900000,11000000,11033000,11129000,11214000,22
1006340053,40.73611,-74.00652,3490000,6000000,9000000,9270000,9341000,22
1006340052,40.73605,-74.00654,5180000,5230000,5246000,6295000,6505000,22
1020670047,40.82944,-73.94231,536000,811000,685000,831000,841000,3
1020670044,40.82934,-73.94237,808000,1040000,1151000,1094000,1148000,3
